net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_alpha_3years,fund_alpha_5years,fund_alpha_10years,fund_beta_3years,fund_beta_5years,fund_beta_10years,fund_mean_annual_return_3years,fund_mean_annual_return_5years,fund_mean_annual_return_10years,fund_r_squared_3years,fund_r_squared_5years,fund_r_squared_10years,fund_standard_deviation_3years,fund_standard_deviation_5years,fund_standard_deviation_10years,fund_sharpe_ratio_3years,fund_sharpe_ratio_5years,fund_sharpe_ratio_10years,fund_treynor_ratio_5years,fund_treynor_ratio_10years
132760000,25.04,0.45,0.47,99.91,0,18.39,2.57,2.26,12.59,0,0,0,0,0,0,0,3.89,0,0,96.11,0,0,0,0,0,0,0,0,0,19.59,11.18,-1.14,-2.88,19.59,3.1,10.18,10.77,16.27,13.17,11.15,14.36,13.62,8.68,-0.94,10.98,6.61,5.08,1.01,0.88,0.97,1.13,1.35,0.98,1.24,37.24,48.31,57.63,14.51,15.47,20.72,1.03,0.71,0.7,10.64,11.63
887120000,0.33,0.31,0.35,0,98.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.21,26.58,32.33,11.88,0,0,0,0,1.18,9,0.88,0.47,1.18,2.4,-4.68,8.46,0.71,0.26,-0.51,0.71,1.71,0,-2.68,10.95,-1.51,-3.21,-2.09,1.43,1.08,1.12,0.07,-0.03,0.17,39.15,20.4,17.12,6.74,6.83,7.75,-0.06,-0.16,0.21,-1.25,1.18
75330000,12.93,2.82,0.22,99.25,0,13.46,1.78,1.36,6.47,5.93,11.1,25.12,2.35,11.98,13.12,2.18,2.39,3.66,8.76,13.41,0,0,0,0,0,0,0,0,0,10.68,0,0.29,0,10.68,0,-2.22,0,0,0,0,0,0,0,-13.12,23.72,,,,,,,,,,,,,,,,,,,,
170740000,,0,0.6,98.88,0,13.78,1.88,1.51,6.19,5.48,7.64,21.48,2.59,6.87,16.88,2.86,1.12,6.21,8.67,20.2,0,0,0,0,0,0,0,0,0,-2.35,0,1.6,0,-5.17,0,-1.38,0,8.06,0,4.95,0,0,0,,22.45,-0.56,-1.76,,1.05,1.05,,0.71,0.46,,96.32,96.12,,10.17,10.88,,0.73,0.45,,4.22,
2700000000,27.22,0.12,0.47,99.94,0,30.49,6.75,6.8,23.79,0,0,0,0,0,0,0,0.18,0,0.07,99.75,0,0,0,0,0,0,0,0,0,21.49,11.18,1.79,-2.88,21.49,3.1,24.42,10.77,28.1,13.17,20.81,14.36,20.64,8.68,12.43,42.16,14.14,12.34,8.26,1.14,1.17,0.97,2.18,1.69,1.69,57.12,68.03,66.62,15.14,15.75,16.6,1.64,1.24,1.19,17.06,20.76
10060000,2.89,1.25,0.25,0,23.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,1.91,0,2.81,0,3.67,0,0,0,0,0,0,0,1.63,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550160000,5.35,1.71,0.65,99.69,0,19.22,2.44,1.64,9.64,7.67,0.59,0,0,0,5.33,40.15,0,0,45.42,0.84,0,0,0,0,0,0,0,0,0,-6.35,0,2.95,0,-5.19,0,-5.87,0,6.86,0,5.96,0,11.28,0,,26.69,-0.75,-0.78,-0.8,1,1,1,0.62,0.55,0.98,99.96,99.97,99.91,10.42,10.96,14.27,0.61,0.54,0.8,5.51,10.98
438750000,19.25,0.35,0.58,100,0,16.28,2.12,1.94,13.22,5.19,18.27,4.85,4.34,15.04,17.81,0,2.48,1.85,15.68,14.49,0,0,0,0,0,0,0,0,0,15.93,4.1,3.1,1.61,15.93,5.08,4.67,10.47,9.17,2.33,0,8.24,0,2.43,-11.69,21.44,2.7,0,0,0.73,0,0,0.76,0,0,58.29,0,0,10.08,0,0,0.78,0,0,0,0
385120000,6.68,1.16,0.43,99.88,0,13.49,2.54,3.38,11.41,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,-3.8,-0.08,2.41,9.78,6.8,5.58,4.93,5.22,12.67,5.4,20.22,15.44,12.26,-7.67,10.66,-5.25,-0.28,7.08,1.08,1,0.68,0.52,0.55,1.3,52.6,46.58,39.37,14.99,16.16,14.99,0.33,0.36,1.01,4.6,22.15
823120000,-0.03,3.94,0.43,99.9,0,14.76,2.68,0.66,12.56,0,0,0.8,0,0,93.83,0,0,0,0.68,4.69,0,0,0,0,0,0,0,0,0,1.71,-3.8,-3.76,2.41,1.71,6.8,10.62,4.93,12.9,12.67,12.26,20.22,19.11,12.26,9.61,25.48,2.37,7.01,9.14,1.05,0.83,0.78,1.12,1.07,1.57,42.82,34.58,46.57,16.05,15.54,15.91,0.76,0.77,1.16,13.87,23.89
3660000000,11.8,0.22,0.43,99.74,0,24.77,3.76,4.47,12.21,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,-3.8,2.36,2.41,15.88,6.8,25.46,4.93,24.12,12.67,19.3,20.22,20.69,12.26,15.47,30.93,10.58,11.99,9.8,1.17,0.99,0.83,1.9,1.57,1.68,64.02,58.08,58.26,14.67,14.38,15.19,1.47,1.25,1.3,18.68,24.38
112560000,6.2,4.58,0.4,0.1,98.46,9.66,0.48,1.69,0.47,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,60.86,31.57,3.21,4.35,4.95,11.06,0.42,0.62,4.95,4.34,0.17,9.05,5.99,3.39,2.48,5.84,0,0,-4.59,11.6,4.32,1.57,0,0.5,0.22,0,0.5,0.23,0,8.91,0.96,0,4.88,6.33,0,0.96,0.32,0,8.44,0
48400000000,19.22,1.51,0.07,99.83,0,16.66,1.95,1.18,8.65,6.04,14.32,16.01,9.9,3.44,8.96,4.03,0.59,4.46,15.59,16.66,0,0,0,0,0,0,0,0,0,14.49,9.01,-0.55,0.12,14.49,4.65,2.51,12.18,11.17,8.34,8.21,15.92,16.19,7.88,-11.14,16.19,-3.67,-2.98,-1.35,1.16,1.07,1.13,0.96,0.73,1.35,84.03,80.9,86.21,13.56,13.35,15.39,0.76,0.6,1.02,6.89,13.94
6360000000,19.3,1.7,0.25,99.83,0,13.77,1.49,0.81,6.84,7.58,14.64,22.62,8.97,3.78,3.36,4.26,0.69,4.84,15.25,14.01,0,0,0,0,0,0,0,0,0,13.92,12.78,-1.79,0.05,13.92,4.11,3.36,15.53,10.05,10.34,7.29,17.24,15.55,7.35,-12.07,12.06,-4.45,-4,-2.19,1.14,1.1,1.15,0.88,0.67,1.32,75.37,75.15,83.3,14.15,14.21,16.02,0.66,0.51,0.96,5.89,13.09
7490000000,19.03,1.06,0.25,99.84,0,20.79,2.8,2.09,11.59,4.55,13.9,9.7,10.69,3.09,14.16,3.79,0.5,4.06,15.81,19.76,0,0,0,0,0,0,0,0,0,14.89,5.46,0.64,-0.15,14.89,4.19,1.42,8.54,11.64,7.82,8.6,14.29,16.4,8.16,-10.53,19.66,-3.4,-2.41,-0.78,1.17,1.05,1.1,1,0.76,1.37,87.83,80.45,84.92,13.4,13.07,15.16,0.8,0.64,1.05,7.41,14.48
3450000000,-5.15,0,0.2,99.05,0,12.85,1.22,0.85,5.37,7.41,17.2,11.25,5.42,8.95,7.27,1.87,4.46,1.71,19.5,14.98,0,0,0,0,0,0,0,0,0,-7.43,0,1.1,0,-4.96,0,-6.44,0,6.25,0,4.9,0,0,0,,25.09,-0.45,-0.7,,0.98,0.99,,0.37,0.67,,99.68,99.73,,14.19,14.65,,0.32,0.55,,7.24,
1890000000,-4.32,0,0.64,98.86,0,12.58,1.23,0.89,5.2,6.91,17.07,12.01,4.35,8.72,7.41,2.01,5.38,1.97,18.94,15.23,0,0,0,0,0,0,0,0,0,-7.71,0,1.06,0,-3.25,0,-6.81,0,1.18,0,5.12,0,0,0,,18.52,0,0,,0,0,,0.42,0.24,,0,0,,16.59,16.77,,0.24,0.13,,0,
1590000000,-5.17,1.38,0.59,99.29,0,12.58,1.23,0.89,5.21,6.93,17.08,12,4.36,8.72,7.41,2,5.39,1.98,18.93,15.21,0,0,0,0,0,0,0,0,0,-7.47,0,0.62,0,-5.06,0,-6.73,0,5.19,0,3.99,0,0,0,,23.31,-1.45,-1.74,-1.27,1,1.02,1.02,0.3,0.6,0.78,99.21,99.38,99.54,14.48,15.11,17.26,0.25,0.48,0.54,6.15,7.94
43240000000,15.67,1.45,0.07,99.79,0,16.7,1.78,0.95,7.15,6.78,13.46,15.77,9.24,3.63,10.03,2.08,1.52,3.95,17.08,16.48,0,0,0,0,0,0,0,0,0,11.68,6.65,-3.25,-4.12,11.68,-2.26,1.62,3.71,12.57,4.58,8.44,12.14,17.01,6.1,-8.43,13.2,-3.02,-3.04,-1.24,1.24,1.14,1.18,1.1,0.78,1.43,65.76,64.25,75.8,16.43,15.84,17.24,0.72,0.54,0.97,6.72,13.94
6160000000,17.03,1.59,0.25,99.62,0,14.29,1.38,0.64,5.65,8.77,14.06,17.96,9.44,3.84,3.93,2.23,0.88,4.98,18.49,15.42,0,0,0,0,0,0,0,0,0,12.33,11.88,-3.91,-3.28,12.33,-1.32,-0.67,8.5,10.81,4.96,6.97,12.52,15.91,5.74,-12.8,11.36,-4.5,-4.51,-2.71,1.24,1.16,1.23,0.98,0.67,1.37,61.92,62.34,75.08,16.92,16.35,17.98,0.61,0.44,0.89,5.36,12.57
5580000000,14.18,0.84,0.25,99.84,0,20.05,2.49,1.81,9.6,4.82,12.8,13.8,9.15,3.37,15.96,1.91,2.2,2.88,15.57,17.54,0,0,0,0,0,0,0,0,0,10.83,2.03,-2.78,-6.17,10.83,-4.3,3.51,0.34,13.87,3.74,9.5,11.52,17.82,7.28,-4.28,14.57,-1.95,-1.88,0.04,1.25,1.12,1.14,1.2,0.86,1.49,67.62,63.43,73.96,16.33,15.74,16.83,0.8,0.61,1.03,7.79,15.17
519660000,13.02,1.14,0.74,99.43,0,6.25,0.9,0.63,4.78,7.43,8.83,12.46,0,5.8,5.85,1.18,1.13,2.31,7.77,47.24,0,0,0,0,0,0,0,0,0,-19.97,0,3.05,0,-10.68,0,-18.19,0,7.39,0,0.37,0,11.51,0,,46.51,-0.62,-0.63,-0.64,1,1,1,0.74,0.16,1.13,99.99,99.93,99.96,18.06,17.31,24.49,0.43,0.07,0.54,-0.24,10.85
1530000000,8.98,2.89,0.48,99.07,0,11.3,1.75,1.47,3.38,16.71,2.77,39.59,0.96,13.3,0,3.07,3.84,15.07,4.06,0.63,0,0,0,0,0,0,0,0,0,7.82,61.57,-2.32,9.76,7.82,9.72,-8.67,49.47,12.24,-8.05,0.42,-6.08,5.25,2.51,-6.72,25.85,5.61,-0.5,-3.55,1.05,1.32,1.22,1.2,0.3,0.69,21.41,39.53,59.42,24.14,25.29,24.93,0.54,0.11,0.31,-0.28,3.98
236960000,6.47,3.92,0.06,0,99.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.54,5.8,19.1,30.49,2.71,2.06,0.28,0,6.83,14.39,4.53,-0.76,6.83,0.95,5.54,14,4.07,9.76,5.38,6.36,0,0,-5,10.97,1.21,-0.08,0,2.39,2.47,0,0.36,0.46,0,91.63,90.22,0,7.37,7.43,0,0.41,0.64,0,1.86,0
734310000,1.95,0,0.12,99.26,0,13.25,1.62,1.15,4.19,7.51,10.48,19,1.49,14.24,14.25,3.91,3.85,8.08,11.67,5.53,0,0,0,0,0,0,0,0,0,-5.41,0,-0.96,0,-5.52,0,-4.54,0,0.61,0,4.6,0,0,0,,10.3,0.07,0.05,,1,1,,0.09,0.43,,99.98,99.99,,10.03,11.5,,0.14,0.47,,4.81,
4300000000,2,3.07,0.12,99.23,0,13.24,1.62,1.14,4.18,7.5,10.45,19.01,1.49,14.26,14.26,3.91,3.87,8.07,11.65,5.53,0,0,0,0,0,0,0,0,0,-4.65,0,-0.59,0,-5.53,0,-4.11,0,0.6,0,4.69,0,8.43,0,,10.3,0.09,0.05,-0.02,1,1,1,0.09,0.43,0.75,99.98,99.99,99.99,10.03,11.5,13.2,0.14,0.47,0.66,4.81,8.14
33930000,19.04,5.36,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,15.4,4.11,-3.99,18.78,-1.4,14.42,-1.79,7.4,-7.54,-4.89,1.96,0,0,-14.49,-6.01,-4.05,-12.09,0,1.27,1.42,0,0.77,-0.22,0,44.29,53.69,0,19.2,21.4,0,0.41,-0.16,0,-4,0
57860000,10.39,0.71,0.59,99.65,0,17.08,2.26,1.57,13.48,2.16,10.95,10.95,9.41,15.44,13.43,11.23,0,2.16,14.94,9.33,0,0,0,0,0,0,0,0,0,11.2,4.1,2.64,1.61,11.2,5.08,-16.27,10.47,3.62,2.33,0,8.24,0,2.43,-22.14,33.15,-5.07,0,0,1.04,0,0,0.3,0,0,58.87,0,0,14.41,0,0,0.16,0,0,0,0
59030000,3.54,2.97,0.06,0,81.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8,1.29,7.57,12.12,4.32,3.3,0.61,0,3.46,0,1.88,0,3.46,0,5.34,0,0,0,0,0,0,0,0.15,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137170000,12.19,2.12,0.3,98.44,0,16.4,2.21,1.31,10.3,6.22,7.51,7.12,2.66,15.51,24.27,2.64,0.99,11.45,11.78,9.85,0,0,0,0,0,0,0,0,0,11.6,4.1,1.85,1.61,11.6,5.08,-4.6,10.47,6.77,2.33,0,8.24,0,2.43,-13.96,25.5,-0.77,0,0,0.95,0,0,0.6,0,0,81.9,0,0,11.07,0,0,0.53,0,0,0,0
2080000000,6.31,1.29,0.4,99.59,0,16.83,2.9,2.18,11.45,2.83,11.72,16.97,2.51,7.54,14.47,3.09,3.6,6.15,9.86,21.27,0,0,0,0,0,0,0,0,0,2.03,0,0.98,0,-5.7,0,4.32,0,10.55,0,9.4,0,13.13,0,,20.79,-0.7,-1.07,-1.3,0.98,0.99,0.99,0.91,0.81,1.1,99.67,99.55,99.57,9.41,10.04,13.31,1.04,0.9,0.96,9.06,12.7
130440000,-5.87,0.13,0.76,100,0,34.04,5.12,1.75,21.93,0,48,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.45,9.4,3.17,1.63,-4.45,3.35,-8.62,9.02,10.73,12.72,11.23,3,0,0,-11.56,52.88,6.9,10.17,0,0.49,0.62,0,0.97,1.04,0,8.9,15.86,0,17.42,18.78,0,0.59,0.62,0,16.83,0
5050000000,6.48,0.89,0.68,98.57,0,20.39,2.56,1.58,10.93,8.8,10.42,24.69,0,9.93,5.35,3.09,1.81,15.01,3.84,17.07,0,0,0,0,0,0,0,0,0,5.73,9.4,7.83,1.63,5.73,3.35,4.26,9.02,10.22,12.72,6.94,3,0,0,-7.44,36.19,4.72,5.58,0,0.75,0.74,0,0.94,0.68,0,24.56,27.05,0,16.04,17.14,0,0.62,0.43,0,8.32,0
91590000,14.68,0.25,1.38,56.68,0,19.36,2.75,1.7,11.67,8.81,10.43,24.43,0,9.82,5.34,3.08,1.84,15.12,3.87,17.27,0,0,0,0,0,0,0,0,0,14.11,0,24.1,0,14.11,0,-6.53,0,16.49,0,4.02,0,0,0,-33.91,128.22,8.82,-3.44,0,1.38,1.97,0,2.22,1.46,0,9.3,17.64,0,48.57,52.5,0,0.52,0.32,0,1.69,0
829000000,7.45,0.55,0.92,98.91,0,21.5,2.64,1.77,12.16,7.49,7.63,38.86,0,8.83,2.42,2.81,1.51,12.49,4.29,13.66,0,0,0,0,0,0,0,0,0,7.36,9.4,9.69,1.63,7.36,3.35,7.87,9.02,12.63,12.72,8.6,3,0,0,-4.44,35.32,6.82,7.07,0,0.73,0.78,0,1.11,0.82,0,24.46,28.59,0,15.66,17.45,0,0.76,0.51,0,10.06,0
20920000,13.37,3.52,0.4,100,0,17.6,1.83,2,7.82,0,0.37,0,5.37,0,0,47.34,0,19.03,27.71,0.19,0,0,0,0,0,0,0,0,0,13.41,13.75,2.47,-3.09,13.41,-2.86,12.21,6.75,0,4.02,0,6.57,0,0,-6.34,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104910000,8.8,4.3,0.5,37.55,52.13,13.86,1.49,1.44,5.68,1.9,7.56,9.45,36.55,5.88,2.32,12.88,3.88,7.16,8.62,3.81,0,33.28,4.79,12.91,16,13.18,11.01,8.69,0.14,7.83,11.05,1.48,0.2,7.83,3.03,3.76,12.42,6.26,5.43,4.39,6.8,0,0,-5.25,13.65,-0.75,-0.59,0,0.86,0.89,0,0.52,0.37,0,81.95,80.85,0,5.83,6.62,0,0.85,0.54,0,3.88,0
1010000,1.18,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,6.86,0,2.15,0,-1.76,0,3.47,0,3.35,0,2.01,0,-2.74,12.6,5.61,3.71,-3,-11.1,-9.36,19.84,0.41,0.23,0.21,1.81,1.04,2.97,6.77,6.24,9.15,0.54,0.31,0.23,-0.19,0.08
1160000000,11.95,2.37,0.3,99.45,0,11.57,1.13,0.67,7.17,12.48,12.57,15.02,7.78,8.95,10.22,4.27,1.88,4.7,11.72,10.43,0,0,0,0,0,0,0,0,0,11.05,4.11,0.46,1.28,11.05,5.62,-6.69,8.19,6.71,0.78,0,7.15,0,1.76,-15.67,28.15,-1.5,0,0,1.05,0,0,0.6,0,0,90.97,0,0,11.6,0,0,0.51,0,0,0,0
31400000,-1.09,1.35,0.76,99.51,0.49,14.99,1.48,0.98,6.32,32.66,6.97,0,1.6,0,0,20.1,11.24,3.26,24.16,0,0,0,0,0,0,0,0,0,0,0.65,9.4,10.38,1.63,0.65,3.35,-13.98,9.02,7,12.72,2.23,3,0,0,-23.55,49.2,3.65,2.02,0,0.58,0.94,0,0.75,0.43,0,10.01,23.12,0,19.48,23.44,0,0.4,0.18,0,1.84,0
2030000000,15.98,2.27,0.4,99.54,0,15.28,2.28,1.68,7.25,3.19,11.86,12.37,0,12.83,15.39,0.89,2.13,9.22,6.45,25.66,0,0,0,0,0,0,0,0,0,12.15,10.42,2.43,0.78,12.15,4.75,6.73,15.14,12.56,4.78,6.98,8.77,11.51,2.52,-6.2,23.39,5.53,4.6,3.71,0.77,0.83,0.83,1.02,0.62,0.99,72.85,80.86,88.92,9.53,11.07,13.9,1.15,0.6,0.82,7.53,13.28
1010000000,10.21,2.7,0.1,98.7,0,13.69,1.22,0.98,5.86,8.36,13.67,17.91,9.18,7.16,7.27,2.73,4.26,2.12,16.5,10.83,0,0,0,0,0,0,0,0,0,9.9,8.9,1.2,-0.8,9.9,1.36,-4.53,7.66,9.41,0.07,0,6.01,0,1.96,-12.38,25.83,1.64,0,0,0.89,0,0,0.77,0,0,83.84,0,0,10.24,0,0,0.77,0,0,0,0
437560000,25.59,0.11,0.75,99.34,0,19.66,3.45,3.18,11.25,0,0,35.49,0,0,0,0,0,0,37.15,27.37,0,0,0,0,0,0,0,0,0,22.92,0,3.69,0,22.92,0,19.09,0,21.91,0,0,0,0,0,1.33,36.88,7.77,0,0,1.27,0,0,1.75,0,0,79.93,0,0,14.25,0,0,1.38,0,0,0,0
1590000000,3.71,2.7,0.15,0,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3.32,6.25,1.96,0.64,3.32,0.83,2.62,5.6,1.64,1.9,1.93,1.6,3.25,4.34,-1.62,3.15,-0.36,-0.96,-1.36,0.94,1.09,1.3,0.14,0.16,0.28,73.66,67.37,61.66,3.22,3.79,4.72,0.11,0.31,0.62,1.01,2.21
44200000,2.79,4.8,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,6.66,-1.51,-0.85,3.23,1.37,-10.61,9.47,2.96,6.21,-4.07,8.65,0,0,-16.04,22.29,2.78,-2.57,0,-0.25,-0.7,0,0.32,-0.26,0,0.44,1.99,0,11.17,14.3,0,0.23,-0.28,0,6.9,0
177390000,13.58,2.34,0.55,98.37,0,12.13,1.29,0.64,5.05,5.05,28.02,12.26,7.55,7.23,7.63,0,0,0,13.54,18.73,0,0,0,0,0,0,0,0,0,10.28,4.11,0.39,1.28,10.28,5.62,-13.43,8.19,7.35,0.78,6.53,7.15,0,1.76,-20.97,33.57,-1.58,3.98,0,1.16,1.03,0,0.66,0.61,0,86.04,85.37,0,13.16,13.32,0,0.5,0.49,0,5.65,0
32030000,33.51,0.28,0.6,99.8,0,0,0,0,0,1.65,11.23,5.79,10.47,0,9.86,0,6.85,3.68,4.45,46.03,0,0,0,0,0,0,0,0,0,31.15,5.46,0.6,-0.15,31.15,4.19,6.54,8.54,16.96,7.82,7.25,14.29,0,8.16,-17.12,36.67,0.49,-5.92,0,1.28,1.36,0,1.43,0.73,0,60.48,66.63,0,17.7,18.62,0,0.9,0.43,0,4.75,0
2090000,14.37,4.81,0.8,98.31,0,19.38,1.35,1.98,9.17,1.31,11.05,17.37,2.71,2.83,15.67,1.72,16.42,1.36,6.57,22.99,0,0,0,0,0,0,0,0,0,11.4,-0.81,-0.53,-1.67,11.4,2.17,-12.91,-2.13,5.58,0,0,0,0,0,-17.3,34.36,-2.21,0,0,1,0,0,0.51,0,0,69.24,0,0,12.77,0,0,0.38,0,0,0,0
1310000000,4.19,3.12,0.4,97.82,0,10.38,0.98,7.28,13.75,0,0.69,0,99.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51,0,0.47,0,-7.05,0,1.48,0,5.45,0,10.6,0,13.11,0,,15.09,4.96,1.75,1.93,0.82,0.94,0.9,0.49,0.92,1.13,80.42,86.05,85.66,10.88,13.26,15.47,0.57,0.84,0.86,11.53,14.23
403760000,6.66,4.63,0.75,76.4,0.24,12.19,1.48,1.45,5.12,0.12,0,98.44,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,-6.23,0,-0.69,0,-8.47,0,-3.85,0,8.66,0,5.38,0,13.76,0,,24.36,1.37,0.17,-0.84,0.9,0.91,1.06,0.76,0.51,1.29,95.15,94.28,93.32,12.99,12.52,23.36,0.62,0.43,0.65,5.26,12.55
97340000,10.04,4.96,0.47,98.61,0,11.05,1.5,0.93,5.99,7.96,10.93,22.37,5.5,9.17,6.58,5.48,6.36,8.06,10.98,6.61,0,0,0,0,0,0,0,0,0,8.7,5.35,0.23,1.07,8.7,6.53,-7.93,8.2,4.37,-0.98,0.45,5.3,0,1.17,-16.13,21.68,-3.01,-2.01,0,0.94,0.95,0,0.41,0.09,0,90.78,92.99,0,10.39,11.83,0,0.35,0.03,0,-0.39,0
751960000,11.48,5.36,0.47,99.22,0,10.7,1.49,0.9,5.61,9.32,11.03,22.88,5.13,8.67,6.74,3.82,5.57,9.27,9.22,8.33,0,0,0,0,0,0,0,0,0,10.35,5.35,-0.09,1.07,10.35,6.53,-7.51,8.2,6.05,-0.98,0.63,5.3,0,1.17,-16.94,23.59,-2.01,-1.83,0,1,1.03,0,0.53,0.12,0,94.09,95.49,0,10.84,12.62,0,0.46,0.05,0,-0.1,0
71540000,16.95,1.79,0.38,99.94,0,16.27,2.12,1.95,13.28,5.13,18.35,4.82,4.28,15.01,17.74,0,2.49,1.87,15.84,14.47,0,0,0,0,0,0,0,0,0,14.79,4.1,2.09,1.61,14.79,5.08,-4.95,10.47,0,2.33,0,8.24,0,2.43,-17.06,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44290000,15.38,5.19,0.47,98.68,0,9.98,1.48,0.89,4.67,12.41,9.45,22.66,5.35,7.54,8.57,2.98,3.44,6.21,10.2,11.2,0,0,0,0,0,0,0,0,0,13.87,5.35,1.24,1.07,13.87,6.53,-8.02,8.2,7.54,-0.98,1.84,5.3,0,1.17,-19.04,23.58,-1,-0.91,0,1.06,1.09,0,0.65,0.21,0,93.13,95.96,0,11.56,13.39,0,0.56,0.13,0,0.82,0
642140000,15.5,2.42,0.3,97.84,0,15.39,2.4,1.53,9.92,7.86,11.55,21.34,3.55,11.32,10.65,3.75,4.06,6.16,12.42,7.34,0,0,0,0,0,0,0,0,0,13.02,4.11,1.74,1.28,13.02,5.62,2.15,8.19,7.7,0.78,0,7.15,0,1.76,-10.87,24.09,0.42,0,0,0.91,0,0,0.68,0,0,89.5,0,0,10.19,0,0,0.67,0,0,0,0
618010000,1.56,2.72,0.74,99.41,0,8.81,1.1,1.14,2.12,2.58,5.01,46.75,9.47,0,0,1.04,10.45,10.22,4.44,10.04,0,0,0,0,0,0,0,0,0,-8.66,0,6.1,0,-1.73,0,-7.49,0,6.95,0,3.12,0,7,0,,34.52,-1.73,-1.73,-2.74,0.92,0.98,1.01,0.72,0.44,0.77,90.99,94.09,96.23,18.36,20.33,22.03,0.42,0.23,0.4,2.67,6.61
77130000,12.81,1.93,0.4,93.3,0,12.28,1.3,0.75,7.16,12.76,12.77,7.51,8.31,5.38,10.14,2.02,1.07,4.67,19.16,16.21,0,0,0,0,0,0,0,0,0,10.65,5.37,-0.43,2.55,10.65,8.24,-10.51,11.56,7.83,4.13,0,9.44,0,0,-18.18,36.24,-0.23,0,0,1.07,0,0,0.72,0,0,81.6,0,0,12.53,0,0,0.58,0,0,0,0
2620000,11.83,0,0.35,99.84,0,9.8,1.06,0.48,3.45,10.51,11.54,13.81,2.45,5.15,0.8,4.03,6.16,23.78,8.54,13.23,0,0,0,0,0,0,0,0,0,12.7,14.83,-1.04,1.01,12.7,7.04,0,15.54,0,-2.18,0,1.65,0,3.59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.47,4.22,0.07,97.5,0,12.34,1.63,1.08,4.54,9.45,10.22,19.17,0.97,16.46,11.89,3.16,3.72,17.27,6.46,1.24,0,0,0,0,0,0,0,0,0,-5.82,0,-1.7,0,-5.24,0,-0.72,0,7.37,0,4.88,0,8.73,0,,11.97,0.05,-0.67,-1.14,1.05,1.06,1.01,0.63,0.43,0.77,97.29,98,98.82,9.59,10.2,12.5,0.74,0.46,0.69,4.1,8.07
74980000,-1.73,1.81,0.35,0,98.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59,25.68,30.8,13.93,0,0,0,0,-1.04,9,-0.63,0.47,-1.04,2.4,-7.32,8.46,-0.52,0.26,-3.29,0.71,-0.92,0,-3.67,10.03,-2.3,-4.66,-2.63,0.82,0.38,0.5,-0.03,-0.26,-0.05,16.3,2.74,3.47,5.97,6.6,7.59,-0.28,-0.6,-0.13,-10.72,-2.59
78960000,19.09,1.22,0.61,100,0,15.94,1.7,0.97,7.51,7.08,12.7,15.71,8.18,4.35,9.31,2.97,1.2,6.19,17.31,15.01,0,0,0,0,0,0,0,0,0,15.33,6.65,-2.05,-4.12,15.33,-2.26,3.4,3.71,0,4.58,0,12.14,0,6.1,-10.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
