net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_alpha_3years,fund_alpha_5years,fund_alpha_10years,fund_beta_3years,fund_beta_5years,fund_beta_10years,fund_mean_annual_return_3years,fund_mean_annual_return_5years,fund_mean_annual_return_10years,fund_r_squared_3years,fund_r_squared_5years,fund_r_squared_10years,fund_standard_deviation_3years,fund_standard_deviation_5years,fund_standard_deviation_10years,fund_sharpe_ratio_3years,fund_sharpe_ratio_5years,fund_sharpe_ratio_10years,fund_treynor_ratio_5years,fund_treynor_ratio_10years
6580000000,14.86,2.28,0.08,99.7,0,15.14,2.87,1.76,7.25,2.41,8.95,19.24,0.05,11.62,15.93,4.79,4.18,4.27,13.91,14.65,0,0,0,0,0,0,0,0,0,11.43,10.9,1.07,-0.1,11.43,3.26,11,17.04,14.26,10.53,0,15.36,0,6.55,-2.24,22.84,1.54,0,0,0.92,0,0,1.16,0,0,93.14,0,0,10.25,0,0,1.23,0,0,0,0
119700000,18.16,2.45,0.38,100,0,13.93,1.97,0.79,6.41,12.89,24.99,16.23,4.78,4.54,2.92,3.3,0.82,0.18,24.91,4.45,0,0,0,0,0,0,0,0,0,12.08,0,-4.02,0,12.08,0,3.48,0,9.62,0,6.47,0,0,0,-10.29,7.1,-4.08,-4.14,,1.1,1.06,,0.87,0.62,,58.57,58.54,,15.49,15.46,,0.59,0.43,,5.37,
2780000000,16.14,2.15,0.28,100,0,15.16,3.61,1.63,9.91,2.18,11.89,10.45,0.1,13.57,10.3,0,6.08,7.01,19.54,18.88,0,0,0,0,0,0,0,0,0,12.93,7.5,1.83,-0.25,12.93,3.2,9.19,13.45,13.68,10.14,11.33,15.76,0,7.33,-5.23,26.95,0.22,0.39,0,1,1,0,1.12,0.95,0,95.38,96.2,0,10.96,11.45,0,1.11,0.93,0,10.51,0
1420000000,12.93,3.99,0.63,99.97,0,9.03,1.12,0.6,3.89,9.95,15.68,10.37,14.12,6.31,2.83,6.07,2.4,1.02,10.93,20.31,0,0,0,0,0,0,0,0,0,12.7,14.83,1.81,1.01,12.7,7.04,-9.19,15.54,11.46,-2.18,3.51,1.65,10.23,3.59,-15.39,35.48,2.86,1.29,1.43,1.06,1.01,1.03,0.97,0.38,0.95,66.08,68.79,78.69,13.85,14.68,18.23,0.75,0.26,0.6,2.73,9.53
95710000,13.65,2.44,0.5,99.7,0,12.97,1.58,1.16,7.09,6.32,11.34,16.98,0.69,7.98,10.57,4.44,5.63,9.62,13.63,12.8,0,0,0,0,0,0,0,0,0,10.7,10.42,0.54,0.78,10.7,4.75,1.16,15.14,11.6,4.78,6.1,8.77,9.81,2.52,-9.2,24.47,3.74,3.53,2.08,0.92,0.94,0.85,0.96,0.55,0.87,89.07,91.93,91.34,10.34,11.75,14.08,0.99,0.5,0.71,5.66,11.06
8790000,1.54,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,2.21,0,0.46,0,5.83,0,-0.32,0,-0.43,0,-5.31,0,5.52,-11.33,-0.61,-1.51,-4.15,0.07,0.13,0.42,0.02,0.03,-0.33,0.51,2.58,15.96,11.32,13.08,16.77,-0.09,-0.03,-0.26,-9.43,-13.7
18870000,18.72,0.86,0.48,99.94,0,16.29,2.13,1.95,13.27,5.13,18.38,4.8,4.19,15.11,17.78,0,2.51,1.88,15.75,14.46,0,0,0,0,0,0,0,0,0,15.83,0,2.58,0,15.83,0,-0.04,0,0,0,0,0,0,0,-14,24.7,,,,,,,,,,,,,,,,,,,,
953280000,12.93,3.29,0.38,100,0,13.72,1.99,1.42,6.99,0.98,6.05,9.69,13.87,16.5,7.28,9.23,9.46,14.21,6.16,6.56,0,0,0,0,0,0,0,0,0,12.08,10.9,1.45,-0.1,12.08,3.26,10.1,17.04,8.21,10.53,8.62,15.36,16.21,6.55,-7.26,11.69,-2.54,-0.18,3.09,0.8,0.8,0.8,0.7,0.73,1.32,76.06,79.43,74.72,9.9,10.04,11.8,0.72,0.8,1.3,9.78,19.57
20870000000,14.5,2.08,0.17,99.7,0,15.77,3.24,1.92,11.56,1.39,15.09,18.2,0,8.15,13.41,0,1.55,5.33,22.32,14.56,0,0,0,0,0,0,0,0,0,11.73,10.9,0.15,-0.1,11.73,3.26,9.68,17.04,16.2,10.53,12.05,15.36,15.82,6.55,-3.6,27.97,2.76,1.26,0.89,0.97,0.98,0.93,1.31,1.01,1.29,89.7,92.46,93.73,10.99,11.41,12.19,1.31,0.99,1.23,11.48,16.49
107140000,5.96,3.47,0.28,0,89.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,8.46,1.83,0.3,6.13,3.08,5.52,8.2,0,0,0,0,0,0,-1.53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
